ID,Journal,Year,Authors,Title,Link,Minority_type,Minority_type_2,Abstract,Database_1,Database_2
1,AJPS,2019,Bradford Jones  Kristina Flores Victor  David Vannette,Alien Citizens and the Canonical Immigrant: Do Stigmatized Attributes Affect Latina/o Judgment about Discrimination?,https://onlinelibrary.wiley.com/doi/10.1111/ajps.12465,Ethnic,NA,"Negative elite and news media attention to Latino‐relevant issues, particularly undocumented immigration, has dramatically increased in recent years, potentially stigmatizing attributes of Latinos such as immigration status and language use. Concomitantly, immigration policy changes were leading to widespread arrests and deportation of many Latinos. Herein, we ask two questions: First, to what extent do Latinos perceive and experience discrimination? Second, to what extent do immigration status, generational status, and language use moderate beliefs about discrimination? Using Pew National Survey of Latinos data, we find that Latino beliefs about the problem of discrimination is a decreasing function of “proximity” to the “canonical immigrant”—defined here as first‐generation immigrants who are Spanish‐language dominant. Further, we demonstrate that reported rates of victimization due to discrimination exhibit no clear pattern and are flat over time. We conclude by demonstrating that discrimination beliefs have significant implications for systemic trust, anxiety, and policy preferences.",https://www.pewresearch.org/topics/national-survey-of-latinos/,NA
3,AJPS,2017,Johannes Hemker  Anselm Rink,Multiple Dimensions of Bureaucratic Discrimination: Evidence from German Welfare Offices,https://onlinelibrary.wiley.com/doi/10.1111/ajps.12312,Ethnic,NA,"A growing experimental literature uses response rates to fictional requests to measure discrimination against ethnic minorities. This article argues that restricting attention to response rates can lead to faulty inferences about substantive discrimination depending on how response dummies are correlated with other response characteristics. We illustrate the relevance of this problem by means of a conjoint experiment among all German welfare offices, in which we randomly varied five traits and designed requests to allow for a substantive coding of response quality. We find that response rates are statistically indistinguishable across treatment conditions. However, putative non‐Germans receive responses of significantly lower quality, potentially deterring them from applying for benefits. We also find observational evidence suggesting that discrimination is more pronounced in welfare offices run by local governments than in those embedded in the national bureaucracy. We discuss implications for the study of equality in the public sphere.",Request to authors,NA
14,AJPS,2015,Guy Grossman  Oren Gazal‐Ayal  Samuel D. Pimentel  Jeremy M. Weinstein,Descriptive Representation and Judicial Outcomes in Multiethnic Societies,https://onlinelibrary.wiley.com/doi/10.1111/ajps.12187,Ethnic,NA,"The extent to which judicial outcomes depend on judges' identities is a central question in multiethnic societies. Past work on the impact of the racial composition of appellate courts has narrowly focused on civil rights cases in the United States. We expand this literature by testing for ethnicity‐based panel effects in criminal appeals in Israel. Using randomness in the assignment of cases to panels, we find that appeal outcomes for Jewish defendants are independent of panels' ethnic composition. By contrast, panel composition is highly consequential for Arab defendants, who receive more lenient punishments when their case is heard by a panel that includes at least one Arab judge, compared to all‐Jewish panels. The magnitude of these effects is sizable: a 14–20% reduction in incarceration and a 15–26% reduction in prison sentencing. These findings contribute to recent debates on the relationship between descriptive representation and substantive outcomes in judicial bodies.",https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/28870,NA
19,AJPS,2018,Anaïd Flesken,"Ethnic Parties, Ethnic Tensions? Results of an Original Election Panel Study",https://onlinelibrary.wiley.com/doi/10.1111/ajps.12385,Ethnic,NA,"Ethnic diversity is considered detrimental to national unity, especially if ethnicity is politically mobilized: Ethnic parties in electoral competition in particular are thought to increase the salience of ethnic differences and, with it, ethnic tensions. Yet the individual links of this psychological chain have only been examined cross‐sectionally, and never together. This article employs original longitudinal survey data to simultaneously assess changes in ingroup identification, outgroup aversion, and national identification over the election period within one diverse society: Romania. While ingroup identification does increase, ethnic relations do not worsen. On the contrary, outgroup aversion decreases while national identification increases, for minority and majority Romanian citizens alike. I explain these findings with the common ingroup identity model from social psychology: Elections in ethnically diverse societies may not only increase the salience of ethnic groups but also that of the superordinate, national identity. The findings question the often assumed automaticity of intergroup threat.",https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ICISE4,NA
25,BJPS,2015,"Michael Thrasher, Galina Borisyuk, Colin Rallings and Richard Webber",Candidate Ethnic Origins and Voter Preferences: Examining Name Discrimination in Local Elections in Britain,https://www.cambridge.org/core/journals/british-journal-of-political-science/article/candidate-ethnic-origins-and-voter-preferences-examining-name-discrimination-in-local-elections-in-britain/01CF7C85DB1D77AE5A77248EBE385139,Ethnic,NA,"This article examines the relationship between candidate names as they appear on the ballot paper and voting patterns in British local elections. Specifically, it explores whether some voters favour candidates with British-sounding names over those whose names suggest either European or non-European ethnic origins. Name classification software identifies three categories of candidate: British, other European and non-European. Separate analyses of aggregate voting data are undertaken of multi-member and single-member electoral districts. Data cover the period 1973–2012, and votes for more than 400,000 candidates are examined. In multi-member districts, after comparing within-party slates and finishing order generally, candidates whose surnames suggest a British ethnic origin perform best, while non-Europeans attract fewer votes. The analysis of single-member districts focuses on a party’s vote share after taking into account the pattern of candidate recruitment across electoral cycles. It shows that vote share is adversely affected when British candidates are replaced by those with European and non-European surnames, while the opposite pattern of succession is associated with a boost in votes. It is clear that the outcome of some elections has been determined by the parties’ choice of candidates.",https://www.cambridge.org/core/journals/british-journal-of-political-science/article/candidate-ethnic-origins-and-voter-preferences-examining-name-discrimination-in-local-elections-in-britain/01CF7C85DB1D77AE5A77248EBE385139#fndtn-supplementary-materials,NA
29,JOP,2015,"Rene R. Rocha, Benjamin R. Knoll and Robert D. Wrinkle",Immigration Enforcement and the Redistribution of Political Trust,https://www.jstor.org/stable/10.1086/681810?Search=yes&resultItemClick=true&searchText=discrimination+AND+jid%3A%28j50011060+OR+j100248%29&searchUri=%2Faction%2FdoBasicSearch%3FQuery%3Ddiscrimination%2BAND%2Bjid%253A%2528j50011060%2BOR%2Bj100248%2529%26filter%3Djid%253A10.2307%252Fj100248%26sd%3D2015%26ed%3D2020&ab_segments=0%2Fbasic_search_SYC-5462%2Fcontrol&refreqid=fastly-default%3A835aa973321bbbe66d69d5b710adfb31&seq=1#metadata_info_tab_contents,Ethnic,NA,"Social construction theory argues that public policy creates powerful feedback effects and that groups burdened by policy feel alienated. We reevaluate this argument by examining how immigration enforcement policies affect Latino immigrants, native-born Latinos, and Anglos. Using data from a 2012 survey of Texas residents and government statistics
on the Secure Communities program, we find that higher removal rates, especially among noncriminal populations, are
associated with negative political orientations among native- and foreign-born Latinos. We also extend social construction theory by arguing that the attitudes of individuals outside the target group are affected by enforcement. Our
findings show that Anglos living in high-enforcement contexts are the most trusting of government and externally efficacious. We conclude that immigration policy enforcement redistributes trust in government from resource-deprived
immigrants to Anglos. Enforcement practices thus perpetuate existing political inequalities.",https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/29487,NA
33,APSR,2015,KRISTIN MICHELITCH,Does Electoral Competition Exacerbate Interethnic or Interpartisan Economic Discrimination? Evidence from a Field Experiment in Market Price Bargaining,cambridge.org/core/journals/american-political-science-review/article/does-electoral-competition-exacerbate-interethnic-or-interpartisan-economic-discrimination-evidence-from-a-field-experiment-in-market-price-bargaining/D0E5FEE73DC561F56730000B23E65F00,Ethnic,NA,"Does political competition exacerbate economic discrimination between citizens on ethnic or partisan cleavages? Individuals often discriminate on group lines in ordinary economic activities, especially in low-income settings. Political competition, and thus mobilization of partisan and ethnic groups, waxes and wanes over the electoral cycle. This study therefore investigates discrimination over the electoral cycle in a commonplace yet consequential economic activity: market price bargaining. By conducting field experiments on taxi fare bargaining at three points in time around Ghana’s 2008 election, the research reveals that drivers accept lower prices from coethnics regardless of temporal proximity to the election. However, only at election time, drivers accept lower prices from copartisans and demand higher prices from noncopartisans. In sum, political competition affects commonplace economic transactions between citizens on the partisan cleavage. This study is the first to show evidence of interpartisan discrimination in everyday behavior and expands our knowledge of electoral cycle effects.",Request to authors,NA
48,QJE,2017,"Dylan Glover, Amanda Pallais, William Pariente",Discrimination as a Self-Fulfilling Prophecy: Evidence from French Grocery Stores,https://academic.oup.com/qje/article-abstract/132/3/1219/3057434?redirectedFrom=fulltext,Ethnic,NA,"Examining the performance of cashiers in a French grocery store chain, we find that manager bias negatively affects minority job performance. In the stores studied, cashiers work with different managers on different days and their schedules are determined quasi-randomly. When minority cashiers, but not majority cashiers, are scheduled to work with managers who are biased (as determined by an implicit association test), they are absent more often, spend less time at work, scan items more slowly, and take more time between customers. This appears to be because biased managers interact less with minorities, leading minorities to exert less effort. Manager bias has consequences for the average performance of minority workers: while on average minority and majority workers perform equivalently, on days where managers are unbiased, minorities perform significantly better than do majority workers. The findings are consistent with statistical discrimination in hiring whereby because minorities underperform when assigned to biased managers, the firm sets a higher hiring standard for minorities to get similar average performance from minority and nonminority workers.",Request to authors,NA
8,AJPS,2020,Jan H. Pierskalla  Adam Lauretig  Andrew S. Rosenberg  Audrey Sacks,"Democratization and Representative Bureaucracy: An Analysis of Promotion Patterns in Indonesia's Civil Service, 1980–2015",https://onlinelibrary.wiley.com/doi/10.1111/ajps.12536,Gender,Religious,"Civil service organizations in the developing world often lack women and minorities in leadership positions. This has important consequences for the quality of public goods provision and the perceived trustworthiness of bureaucrats. We explore the effect of democratization on the discrimination of women and minorities in the civil service. We argue democratization leads to increased discrimination due to the politicization of identity cleavages. We test our argument using administrative data from Indonesia that cover the career histories of more than four million active civil servants. We exploit the exogenous timing of Indonesia's democratization and the staggered introduction of local direct elections for identification purposes. We find strong evidence that democratization worsened the career prospects of female and some religious minority bureaucrats. Penalties are higher for employees of departments led by conservative Muslim parties, in districts with larger Muslim party vote shares or larger Muslim populations, and in the religiously conservative province of Aceh.",Request to authors,NA
9,AJPS,2019,Hans J.G. Hassell  Neil Visalvanich,"The Party's Primary Preferences: Race, Gender, and Party Support of Congressional Primary Candidates",https://onlinelibrary.wiley.com/doi/10.1111/ajps.12461,Gender,Racial,"Party support has a strong influence on candidate success in the primary. What remains unexplored is whether party actions during the primary are biased along racial and gender lines. Using candidate demographic data at the congressional level and measures of party support for primary candidates, we test whether parties discriminate against women and minority candidates in congressional primaries and also whether parties are strategic in their support of minority candidates in certain primaries. Our findings show parties are not biased against minority candidates and also that white women candidates receive more support from the Democratic Party than do other types of candidates. Our findings also suggest that parties do not appear to strategically support minority candidates in districts with larger populations of minorities. Lastly, we also find no significant differences in the effects of party support on the likelihood of success in the primary by candidate race or gender.",Request to authors,NA
